id|name|id_league
212|Atlético Madrid|3
220|Real Madrid|3
217|Barcelona|8
210|Real Sociedad|8
422|Osasuna|8
901|Real Valladolid|8
360|Rayo Vallecano|8
223|Málaga|8
207|Valencia|8
221|Levante UD|8
213|Sevilla|8
209|Celta Vigo|8
214|Espanyol|8
1042|Elche|8
403|Almería|8
215|Athletic Club|8
222|Villarreal|8
216|Getafe|8
218|Real Betis|8
1049|Granada|8
39|Manchester United|3
219|RC Deportivo La Coruña|8
1041|Sporting Gijón|8
1043|Mallorca|8
1218|Hércules|8
395|Real Zaragoza|8
1217|Racing Santander|8
24|Liverpool|3
243|AC Milan|3
608|Albacete|8
1220|Recreativo Huelva|8
1230|Real Murcia CF|8
7282|ATK Mohun Bagan|11
7285|NorthEast United|11
7286|East Bengal|11
2021|Jamshedpur|11
7287|Mumbai City|11
7291|Odisha|11
7289|Hyderabad|11
7284|Bengaluru|11
7290|Chennaiyin|11
7283|Kerala Blasters|11
7288|Goa|11
238|Inter Milan|3
169|Bayern Munich|3
627|Tenerife|8
1219|Xerez|8
224|Juventus|3
322|Eibar|8
373|Córdoba CF|8
2391|Morocco Women's|13
1211|Korea Republic Women's|13
16769|Vietnam Women's|13
1214|United States Women's|13
1207|China PR Women's|13
853|Denmark Women's|13
1213|Nigeria Women's|13
865|England Women's|13
1832|Costa Rica Women's|13
1210|Japan Women's|13
852|Norway Women's|13
1215|New Zealand Women's|13
858|Sweden Women's|13
863|Spain Women's|13
864|Portugal Women's|13
851|Netherlands Women's|13
2355|Haiti Women's|13
857|Germany Women's|13
1216|South Africa Women's|13
6045|Zambia Women's|13
861|France Women's|13
1205|Australia Women's|13
16803|Panama Women's|13
16802|Colombia Women's|13
1212|Jamaica Women's|13
16768|Republic of Ireland Women's|13
1206|Canada Women's|13
1204|Argentina Women's|13
860|Switzerland Women's|13
1106|Philippines Women's|13
1203|Brazil Women's|13
855|Italy Women's|13
2647|Aston Villa|1
972|West Ham United LFC|1
965|Brighton & Hove Albion WFC|1
749|Tottenham Hotspur Women|1
969|Birmingham City WFC|1
973|Bristol City WFC|1
746|Manchester City WFC|1
974|Reading WFC|1
968|Arsenal WFC|1
1475|Manchester United|1
971|Chelsea FCW|1
967|Everton LFC|1
902|Huesca|8
552|Cádiz|8
206|Deportivo Alavés|8
205|Leganés|8
211|Girona|8
208|Las Palmas|8
759|Washington Spirit|9
767|Utah Royals|9
766|North Carolina Courage|9
761|Chicago Red Stars|9
765|Portland Thorns|9
764|Orlando Pride|9
762|Houston Dash|9
760|OL Reign|9
793|Iceland|12
775|Nigeria|12
779|Argentina|12
771|France|12
768|England|12
790|Sweden|12
773|Switzerland|12
781|Brazil|12
782|Belgium|12
791|South Korea|12
796|Russia|12
772|Spain|12
794|Mexico|12
797|Iran|12
778|Japan|12
769|Colombia|12
786|Serbia|12
785|Croatia|12
770|Germany|12
777|Tunisia|12
795|Costa Rica|12
776|Denmark|12
788|Morocco|12
783|Uruguay|12
774|Egypt|12
789|Poland|12
799|Saudi Arabia|12
787|Senegal|12
780|Portugal|12
798|Panama|12
784|Peru|12
792|Australia|12
970|Yeovil Town LFC|1
966|Liverpool WFC|1
38|Tottenham Hotspur|3
920|WNT Finland|4
862|Iceland Women's|4
854|Belgium Women's|4
2457|Northern Ireland|4
859|Austria Women's|4
1833|Canada|12
941|Netherlands|12
2722|Cameroon|12
1839|United States|12
907|Wales|12
4885|Ghana|12
3566|Qatar|12
3565|Ecuador|12
1|Arsenal|2
33|Chelsea|2
75|Charlton Athletic|2
46|Wolverhampton Wanderers|2
98|Blackburn Rovers|2
328|Bolton Wanderers|2
25|Southampton|2
55|Fulham|2
37|Newcastle United|2
59|Aston Villa|2
54|Birmingham City|2
101|Leeds United|2
105|Portsmouth|2
22|Leicester City|2
47|Middlesbrough|2
29|Everton|2
36|Manchester City|2
256|FC Porto|3
129|AS Monaco|3
2358|North Macedonia|5
914|Italy|5
908|Slovakia|5
915|Austria|5
942|Scotland|5
911|Ukraine|5
916|Hungary|5
912|Czech Republic|5
909|Turkey|5
1835|Finland|5
1208|Cameroon Women's|13
1209|Chile Women's|13
866|Scotland Women's|13
1107|Thailand Women's|13
228|Atalanta|10
240|Bologna|10
229|AS Roma|10
241|Torino|10
233|Genoa|10
231|Chievo|10
226|Hellas Verona|10
232|Sassuolo|10
234|Sampdoria|10
1683|Carpi|10
239|Fiorentina|10
290|Empoli|10
230|Udinese|10
236|Lazio|10
227|Napoli|10
2256|Palermo|10
291|Frosinone|10
137|Lyon|6
136|OGC Nice|6
134|Rennes|6
160|Gazélec Ajaccio|6
143|Lille|6
139|Montpellier|6
2736|Bastia|6
131|Paris Saint-Germain|6
146|Bordeaux|6
144|Nantes|6
133|Troyes|6
147|Marseille|6
140|Caen|6
145|Angers|6
156|Stade de Reims|6
142|Guingamp|6
130|Toulouse|6
165|Lorient|6
135|Saint-Étienne|6
26|Swansea City|2
23|Watford|2
56|Norwich City|2
31|Crystal Palace|2
30|Stoke City|2
27|West Bromwich Albion|2
41|Sunderland|2
40|West Ham United|2
28|AFC Bournemouth|2
177|FSV Mainz 05|7
184|Eintracht Frankfurt|7
180|Borussia Dortmund|7
172|Augsburg|7
189|Ingolstadt|7
872|Darmstadt 98|7
178|Hannover 96|7
173|Hertha Berlin|7
171|Hamburger SV|7
175|Hoffenheim|7
174|VfB Stuttgart|7
185|Borussia Mönchengladbach|7
176|Werder Bremen|7
181|Schalke 04|7
904|Bayer Leverkusen|7
186|FC Köln|7
179|Wolfsburg|7
444|CD Numancia de Soria|8
1036|Gimnàstic Tarragona|8
